2,5,
2,4,
1,3,
1,2,
0,2,
0,1,
-1,1,
-2,0,
-3,0,
-3,-1,
-4,-1,
-4,-1,
-6,-2,
-7,-2,
-7,-3,
-8,-3,
-9,-3,
-9,-4,
-10,-4,
-11,-4,
-11,-4,
-12,-4,
-13,-5,
-14,-5,
-14,-6,
-15,-6,
-16,-7,
-17,-8,
-18,-9,
-18,-9,
-18,-10,
-19,-11,
-19,-12,
-20,-12,
-20,-13,
-20,-14,
-21,-14,
-21,-14,
-21,-15,
-21,-16,
-22,-16,
-22,-17,
-22,-18,
-22,-18,
-22,-19,
-22,-20,
-21,-20,
-21,-21,
-20,-21,
-19,-21,
-18,-21,
-17,-21,
-17,-21,
-16,-21,
-15,-21,
-15,-21,
-14,-21,
-13,-21,
-13,-21,
-13,-20,
-12,-20,
-11,-20,
-11,-19,
-10,-19,
-10,-18,
-10,-17,
-9,-17,
-9,-16,
-9,-15,
-8,-15,
-8,-14,
-7,-14,
-7,-13,
-7,-12,
-6,-12,
-6,-11,
-6,-10,
-5,-10,
-5,-9,
-4,-9,
-4,-8,
-3,-8,
-3,-7,
-2,-7,
-2,-6,
-2,-6,
-2,-5,
-2,-5,
-1,-5,
-1,-4,
0,-3,
0,-2,
0,-1,
0,0,
0,1,
0,1,
0,2,
0,3,
1,3,
1,4
